PROMO CODE,TRIP POINTS,SOCIAL POINTS,GRAND POINTS,Individual Score
TUCH1046,4715,15,4730,4730
TUCH1246,3770,105,3875,3875
TUCH2276,3130,425,3555,3555
TUCH1019,3255,145,3400,3400
TUCH2261,3195,75,3270,3270
TUCH1245,2030,135,2165,2165
TUCH1233,3740,573,4311,2156
TUCH1233,3740,573,4311,2156
TUCH1016,2050,45,2095,2095
TUCH1056,4055,130,4185,2093
TUCH1056,4055,130,4185,2093
TUCH2263,1865,90,1955,1955
TUCH1001,3805,75,3880,1940
TUCH1001,3805,75,3880,1940
TUCH1038,3840,35,3875,1938
TUCH1038,3840,35,3875,1938
TUCH2099,1680,75,1755,1755
TUCH1372,1730,15,1745,1745
TUCH1625,1640,15,1655,1655
TUCH2264,1565,25,1590,1590
TUCH2260,1530,25,1555,1555
TUCH1025,2985,40,3025,1513
TUCH1025,2985,40,3025,1513
TUCH2258,1410,20,1430,1430
TUCH0004,1020,294,1314,1314
TUCH1834,2465,40,2505,1253
TUCH1834,2465,40,2505,1253
TUCH2431,1085,150,1235,1235
TUCH2444,2315,128,2443,1222
TUCH2444,2315,128,2443,1222
TUCH1108,1190,10,1200,1200
TUCH2132,1135,35,1170,1170
TUCH1234,870,310,1150,1150
TUCH0006,965,155,1120,1120
TUCH2280,1010,35,1045,1045
TUCH1220,940,95,1035,1035
TUCH2288,970,65,1035,1035
TUCH0794,2045,0,2045,1023
TUCH0794,2045,0,2045,1023
TUCH2071,925,95,1020,1020
TUCH0778,1000,15,1015,1015
TUCH1053,1805,190,1995,998
TUCH1053,1805,190,1995,998
TUCH1017,1890,95,1985,993
TUCH1017,1890,95,1985,993
TUCH1602,1875,86,1961,981
TUCH1602,1875,86,1961,981
TUCH2277,790,170,960,960
TUCH2088,875,70,945,945
TUCH2305,900,10,910,910
TUCH0251,770,105,875,875
TUCH0009,750,106,856,856
TUCH2095,730,122,852,852
TUCH1222,765,80,845,845
TUCH2320,595,239,834,834
TUCH1236,825,0,825,825
TUCH1260,780,30,810,810
TUCH1806,710,0,710,710
TUCH1067,680,5,685,685
TUCH0032,630,50,680,680
TUCH1219,1335,5,1340,670
TUCH1219,1335,5,1340,670
TUCH1601,1335,5,1340,670
TUCH1601,1335,5,1340,670
TUCH2412,515,146,661,661
TUCH2267,520,134,654,654
TUCH0270,645,0,645,645
TUCH1135,1255,10,1265,632.5
TUCH1135,1255,10,1265,632.5
TUCH2281,565,60,625,625
TUCH1976,560,50,610,610
TUCH1898,1060,155,1215,608
TUCH1898,1060,155,1215,608
TUCH2291,605,0,605,605
TUCH2308,595,10,605,605
TUCH2416,520,70,590,590
TUCH1227,1020,105,1125,563
TUCH1227,1020,105,1125,563
TUCH1225,485,56,541,541
TUCH2092,375,160,535,535
TUCH0764,520,0,520,520
TUCH1011,975,60,1035,518
TUCH1011,975,60,1035,518
TUCH0756,480,32,512,512
TUCH2082,485,25,510,510
TUCH2336,370,131,501,501
TUCH1243,425,65,490,490
TUCH0770,950,5,955,478
TUCH0770,950,5,955,478
TUCH0039,905,45,950,475
TUCH0039,905,45,950,475
TUCH2262,365,110,475,475
TUCH1217,460,5,465,465
TUCH1963,460,0,460,460
TUCH2114,450,0,450,450
TUCH2295,385,60,445,445
TUCH0517,440,0,440,440
TUCH0539,405,25,430,430
TUCH2446,430,0,430,430
TUCH1036,730,105,835,418
TUCH1036,730,105,835,418
TUCH1064,410,5,415,415
TUCH2303,410,0,410,410
TUCH0271,400,0,400,400
TUCH2048,400,0,400,400
TUCH1014,760,35,795,398
TUCH1014,760,35,795,398
TUCH1119,380,15,395,395
TUCH1247,395,0,395,395
TUCH1015,390,0,390,390
TUCH1803,630,150,780,390
TUCH1803,630,150,780,390
TUCH1403,380,5,385,385
TUCH1603,735,10,745,373
TUCH1603,735,10,745,373
TUCH1920,620,120,740,370
TUCH1920,620,120,740,370
TUCH0793,395,342,737,369
TUCH0793,395,342,737,369
TUCH0013,345,15,360,360
TUCH2426,350,10,360,360
